,date,open,close,high,low,volume,code,time
69,2018-08-07,5.18,5.18,5.2,5.17,1510.0,600642,11:10
70,2018-08-07,5.18,5.18,5.2,5.17,1387.0,600642,11:15
71,2018-08-07,5.18,5.18,5.2,5.17,1523.0,600642,11:20
72,2018-08-07,5.19,5.18,5.2,5.18,632.0,600642,11:25
73,2018-08-07,5.18,5.21,5.21,5.18,799.0,600642,11:30
74,2018-08-07,5.21,5.2,5.21,5.19,2356.0,600642,13:05
75,2018-08-07,5.2,5.21,5.21,5.19,1053.0,600642,13:10
76,2018-08-07,5.21,5.19,5.21,5.18,2284.0,600642,13:15
77,2018-08-07,5.19,5.2,5.2,5.18,1386.0,600642,13:20
78,2018-08-07,5.2,5.19,5.2,5.18,609.0,600642,13:25
79,2018-08-07,5.19,5.18,5.2,5.18,1127.0,600642,13:30
80,2018-08-07,5.18,5.2,5.2,5.18,1938.0,600642,13:35
81,2018-08-07,5.2,5.21,5.21,5.2,1094.0,600642,13:40
82,2018-08-07,5.21,5.2,5.21,5.19,1223.0,600642,13:45
83,2018-08-07,5.2,5.21,5.21,5.19,808.0,600642,13:50
84,2018-08-07,5.21,5.21,5.21,5.19,947.0,600642,13:55
85,2018-08-07,5.21,5.21,5.22,5.19,1424.0,600642,14:00
86,2018-08-07,5.22,5.22,5.22,5.2,1362.0,600642,14:05
87,2018-08-07,5.22,5.2,5.22,5.2,1003.0,600642,14:10
88,2018-08-07,5.2,5.22,5.22,5.2,1062.0,600642,14:15
89,2018-08-07,5.22,5.23,5.23,5.21,1067.0,600642,14:20
90,2018-08-07,5.23,5.22,5.23,5.22,1431.0,600642,14:25
91,2018-08-07,5.23,5.25,5.26,5.22,4807.0,600642,14:30
92,2018-08-07,5.25,5.24,5.25,5.22,1145.0,600642,14:35
93,2018-08-07,5.24,5.24,5.24,5.23,1446.0,600642,14:40
94,2018-08-07,5.24,5.27,5.27,5.23,3085.0,600642,14:45
95,2018-08-07,5.27,5.26,5.28,5.26,2722.0,600642,14:50
96,2018-08-07,5.26,5.26,5.28,5.26,1417.0,600642,14:55
97,2018-08-07,5.26,5.27,5.27,5.25,2723.0,600642,15:00
98,2018-08-08,5.25,5.27,5.27,5.24,3786.0,600642,09:35
99,2018-08-08,5.27,5.27,5.29,5.26,1911.0,600642,09:40
100,2018-08-08,5.28,5.28,5.28,5.27,1349.0,600642,09:45
101,2018-08-08,5.27,5.26,5.28,5.26,1473.0,600642,09:50
102,2018-08-08,5.26,5.26,5.28,5.26,3391.0,600642,09:55
103,2018-08-08,5.26,5.26,5.27,5.26,1928.0,600642,10:00
104,2018-08-08,5.26,5.25,5.26,5.25,1269.0,600642,10:05
105,2018-08-08,5.26,5.26,5.27,5.25,1096.0,600642,10:10
106,2018-08-08,5.26,5.27,5.28,5.26,1070.0,600642,10:15
107,2018-08-08,5.27,5.29,5.3,5.27,1938.0,600642,10:20
108,2018-08-08,5.29,5.29,5.3,5.28,903.0,600642,10:25
109,2018-08-08,5.29,5.31,5.32,5.29,5355.0,600642,10:30
110,2018-08-08,5.32,5.32,5.33,5.31,5721.0,600642,10:35
111,2018-08-08,5.31,5.32,5.33,5.31,4780.0,600642,10:40
112,2018-08-08,5.32,5.33,5.33,5.31,968.0,600642,10:45
113,2018-08-08,5.32,5.33,5.34,5.32,4260.0,600642,10:50
114,2018-08-08,5.32,5.33,5.33,5.32,1388.0,600642,10:55
115,2018-08-08,5.33,5.33,5.33,5.31,2013.0,600642,11:00
116,2018-08-08,5.33,5.31,5.33,5.31,1445.0,600642,11:05
117,2018-08-08,5.32,5.31,5.33,5.31,2799.0,600642,11:10
118,2018-08-08,5.31,5.32,5.33,5.31,3674.0,600642,11:15
119,2018-08-08,5.32,5.32,5.32,5.31,1139.0,600642,11:20
120,2018-08-08,5.32,5.31,5.33,5.3,2130.0,600642,11:25
121,2018-08-08,5.31,5.32,5.32,5.3,555.0,600642,11:30
122,2018-08-08,5.32,5.32,5.33,5.31,1500.0,600642,13:05
123,2018-08-08,5.32,5.33,5.33,5.31,534.0,600642,13:10
124,2018-08-08,5.33,5.32,5.33,5.31,773.0,600642,13:15
125,2018-08-08,5.32,5.31,5.33,5.31,535.0,600642,13:20
126,2018-08-08,5.31,5.32,5.32,5.31,567.0,600642,13:25
127,2018-08-08,5.32,5.3,5.32,5.3,1950.0,600642,13:30
128,2018-08-08,5.3,5.31,5.31,5.3,1078.0,600642,13:35
129,2018-08-08,5.31,5.3,5.31,5.3,706.0,600642,13:40
130,2018-08-08,5.3,5.3,5.31,5.3,614.0,600642,13:45
131,2018-08-08,5.3,5.3,5.31,5.3,353.0,600642,13:50
132,2018-08-08,5.31,5.31,5.31,5.3,476.0,600642,13:55
133,2018-08-08,5.31,5.29,5.31,5.29,1740.0,600642,14:00
134,2018-08-08,5.29,5.3,5.3,5.28,3445.0,600642,14:05
135,2018-08-08,5.29,5.31,5.31,5.29,1269.0,600642,14:10
136,2018-08-08,5.31,5.3,5.31,5.29,1935.0,600642,14:15
137,2018-08-08,5.3,5.3,5.3,5.29,1121.0,600642,14:20
138,2018-08-08,5.3,5.3,5.31,5.3,1646.0,600642,14:25
139,2018-08-08,5.31,5.3,5.31,5.29,1736.0,600642,14:30
140,2018-08-08,5.3,5.3,5.3,5.29,218.0,600642,14:35
141,2018-08-08,5.3,5.3,5.3,5.29,356.0,600642,14:40
142,2018-08-08,5.29,5.3,5.3,5.29,763.0,600642,14:45
143,2018-08-08,5.3,5.28,5.3,5.28,1150.0,600642,14:50
