,date,open,close,high,low,volume,code
59,2017-04-05,5.83,5.848,5.858,5.783,299923.0,600642
60,2017-04-06,5.839,5.83,5.858,5.802,240338.0,600642
61,2017-04-07,5.82,5.886,5.886,5.811,293837.0,600642
62,2017-04-10,5.886,5.82,5.904,5.802,259233.0,600642
63,2017-04-11,5.82,5.867,5.876,5.774,255957.0,600642
64,2017-04-12,5.876,5.932,5.96,5.848,434174.0,600642
65,2017-04-13,5.913,5.923,5.932,5.876,264874.0,600642
66,2017-04-14,5.904,5.82,5.932,5.802,217860.0,600642
67,2017-04-17,5.793,5.82,5.858,5.793,160119.0,600642
68,2017-04-18,5.811,5.727,5.839,5.718,183428.0,600642
69,2017-04-19,5.727,5.718,5.737,5.634,213559.0,600642
70,2017-04-20,5.709,5.672,5.727,5.625,169947.0,600642
71,2017-04-21,5.681,5.672,5.709,5.653,111594.0,600642
72,2017-04-24,5.681,5.569,5.69,5.56,166141.0,600642
73,2017-04-25,5.588,5.588,5.625,5.56,76214.0,600642
74,2017-04-26,5.588,5.607,5.634,5.579,94090.0,600642
75,2017-04-27,5.597,5.569,5.607,5.504,141632.0,600642
76,2017-04-28,5.569,5.597,5.607,5.551,107127.0,600642
77,2017-05-02,5.616,5.644,5.662,5.597,132921.0,600642
78,2017-05-03,5.644,5.644,5.653,5.597,112411.0,600642
79,2017-05-04,5.625,5.625,5.681,5.607,105191.0,600642
80,2017-05-05,5.625,5.597,5.644,5.579,111999.0,600642
81,2017-05-08,5.579,5.56,5.588,5.542,86255.0,600642
82,2017-05-09,5.551,5.597,5.616,5.542,129759.0,600642
83,2017-05-10,5.597,5.449,5.607,5.43,219668.0,600642
84,2017-05-11,5.421,5.393,5.458,5.281,264928.0,600642
85,2017-05-12,5.365,5.383,5.411,5.337,100833.0,600642
86,2017-05-15,5.402,5.411,5.43,5.383,69354.0,600642
87,2017-05-16,5.402,5.449,5.458,5.365,98019.0,600642
88,2017-05-17,5.439,5.467,5.495,5.439,95642.0,600642
89,2017-05-18,5.449,5.449,5.476,5.43,68495.0,600642
90,2017-05-19,5.458,5.504,5.542,5.439,124659.0,600642
91,2017-05-22,5.504,5.458,5.532,5.43,85637.0,600642
92,2017-05-23,5.458,5.439,5.458,5.411,82946.0,600642
93,2017-05-24,5.421,5.43,5.458,5.374,115862.0,600642
94,2017-05-25,5.439,5.56,5.569,5.43,191401.0,600642
95,2017-05-26,5.532,5.569,5.597,5.532,138421.0,600642
96,2017-05-31,5.569,5.588,5.607,5.551,114527.0,600642
97,2017-06-01,5.579,5.625,5.672,5.551,170454.0,600642
98,2017-06-02,5.597,5.616,5.634,5.542,139521.0,600642
99,2017-06-05,5.625,5.634,5.644,5.607,89702.0,600642
100,2017-06-06,5.644,5.653,5.672,5.616,91717.0,600642
101,2017-06-07,5.653,5.7,5.718,5.653,146307.0,600642
102,2017-06-08,5.709,5.765,5.774,5.7,175597.0,600642
103,2017-06-09,5.765,5.765,5.783,5.727,173854.0,600642
104,2017-06-12,5.765,5.783,5.802,5.737,136762.0,600642
105,2017-06-13,5.765,5.765,5.783,5.718,103092.0,600642
106,2017-06-14,5.755,5.746,5.774,5.718,95895.0,600642
107,2017-06-15,5.737,5.755,5.774,5.727,78377.0,600642
108,2017-06-16,5.755,5.755,5.774,5.727,55331.0,600642
109,2017-06-19,5.793,5.811,5.82,5.727,103710.0,600642
